index,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
0,HIGHWAY,9977,10206,104,-2,-2,1423,52,45,1
1,HIGHWAY,3844,4060,104,2,2,702,37,32,1
2,HIGHWAY,1617,1833,104,2,-2,330,25,26,1
3,HIGHWAY,2608,2919,104,-2,2,496,32,30,1
4,HIGHWAY,4106,4417,104,-2,2,720,43,27,1
5,HIGHWAY,2415,2726,104,-2,-2,471,30,28,1
6,HIGHWAY,11669,11884,104,-2,-2,1643,49,58,1
7,HIGHWAY,2086,2397,104,-2,2,460,31,29,1
8,HIGHWAY,508,724,104,-2,-2,161,18,18,1
9,HIGHWAY,2337,2561,104,2,2,396,27,26,1
10,HIGHWAY,2955,3171,104,2,-2,612,34,33,1
11,HIGHWAY,11288,11599,104,-2,-2,1427,44,48,1
12,HIGHWAY,13925,14236,104,-2,-2,1635,56,45,1
13,HIGHWAY,2947,3258,104,-2,2,543,28,29,1
14,HIGHWAY,587,803,104,2,-2,192,21,20,1
15,HIGHWAY,370,590,104,-2,2,148,16,16,1
16,HIGHWAY,2372,2583,104,-2,-2,477,30,27,1
17,HIGHWAY,1013,1229,104,2,-2,285,25,21,1
18,HIGHWAY,354,665,104,2,-2,173,19,17,1
19,HIGHWAY,18925,19145,104,-2,-2,2222,68,53,1
20,HIGHWAY,262,470,104,2,-2,127,16,13,1
21,HIGHWAY,1134,1445,104,2,-2,318,20,28,1
22,HIGHWAY,633,944,104,2,2,246,21,19,1
23,HIGHWAY,266,577,104,2,-2,156,18,16,1
24,HIGHWAY,528,839,104,2,2,220,20,21,1
25,HIGHWAY,2855,3063,104,2,2,583,35,25,1
26,HIGHWAY,2427,2738,104,2,2,494,24,35,1
27,HIGHWAY,3579,3890,104,2,2,626,31,32,1
28,HIGHWAY,707,923,104,2,-2,218,20,24,1
29,HIGHWAY,743,959,104,2,-2,229,22,24,1
30,HIGHWAY,507,819,104,-2,-2,218,20,20,1
31,HIGHWAY,715,931,104,2,-2,219,20,24,1
32,HIGHWAY,2776,2996,104,-2,2,537,27,31,1
33,HIGHWAY,324,635,104,-2,2,167,18,18,1
34,HIGHWAY,19372,19585,104,2,-2,2054,54,57,1
35,HIGHWAY,292,603,104,-2,2,158,18,18,1
36,HIGHWAY,2642,2850,104,2,-2,549,25,35,1
37,HIGHWAY,2718,2926,104,2,-2,552,25,35,1
38,HIGHWAY,9972,10201,104,-2,2,1423,45,52,1
39,HIGHWAY,503,719,104,-2,2,161,18,18,1
40,HIGHWAY,594,907,104,-2,-2,216,20,20,1
41,HIGHWAY,256,464,104,-2,2,124,16,12,1
42,HIGHWAY,895,1206,104,2,-2,281,23,24,1
43,HIGHWAY,256,464,104,-2,2,123,16,12,1
44,HIGHWAY,343,654,104,2,2,163,19,17,1
45,HIGHWAY,359,670,104,2,2,174,18,18,1
46,HIGHWAY,9377,9670,104,2,2,1283,44,43,1
47,HIGHWAY,367,678,104,2,2,170,19,19,1
48,HIGHWAY,21409,21625,104,-2,2,2514,60,62,1
49,HIGHWAY,4558,4869,104,2,-2,822,37,41,1
50,HIGHWAY,261,572,104,-2,-2,155,16,18,1
51,HIGHWAY,474,718,104,2,-2,169,19,19,1
52,HIGHWAY,41980,42291,104,-2,-2,3195,71,71,1
53,HIGHWAY,3238,3454,104,-2,-2,687,35,34,1
54,HIGHWAY,4101,4412,104,2,2,720,27,43,1
55,HIGHWAY,13920,14231,104,-2,2,1635,45,56,1
56,HIGHWAY,597,886,104,2,2,208,19,20,1
57,HIGHWAY,3458,3676,104,2,-2,668,32,34,1
58,HIGHWAY,261,572,104,-2,-2,155,16,18,1
59,HIGHWAY,7767,8060,104,2,2,1143,46,46,1
60,HIGHWAY,8397,8708,104,-2,-2,1056,35,50,1
61,HIGHWAY,704,921,104,2,-2,212,20,22,1
62,HIGHWAY,265,576,104,-2,-2,156,16,18,1
63,HIGHWAY,990,1301,104,2,-2,286,25,20,1
64,HIGHWAY,9976,10205,104,2,-2,1423,45,52,1
65,HIGHWAY,46180,46430,104,-2,2,4666,84,88,1
66,HIGHWAY,670,981,104,2,-2,244,19,22,1
