rule,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
RLRRRRRRLRLL,OOB,-1,16646430,-1,0,0,4167723,2043,2042,0
RLRRRRRRLLRR,OOB,-1,16644641,-1,0,0,4167721,2042,2043,0
RLRRRRRRLLRL,OOB,-1,16654647,-1,0,0,4167721,2042,2043,0
RLRRRRRRLLLR,OOB,-1,16647334,-1,0,0,4167707,2043,2042,0
RLRRRRRRLLLL,OOB,-1,16663324,-1,0,0,4171807,2044,2043,0
RLRRRRRLRRRR,TIMEOUT,-1,20000000,-1,0,0,129488,407,398,0
RLRRRRRLRRRL,TIMEOUT,-1,20000000,-1,0,0,124123,433,390,0
RLRRRRRLRRLR,OOB,-1,16642196,-1,0,0,4169719,2043,2043,0
RLRRRRRLRRLL,OOB,-1,16569623,-1,0,0,4147211,2038,2037,0
RLRRRRRLRLRR,OOB,-1,16644731,-1,0,0,4167721,2042,2043,0
RLRRRRRLRLRL,OOB,-1,16621182,-1,0,0,4155427,2041,2038,0
RLRRRRRLRLLR,OOB,-1,16645642,-1,0,0,4167715,2043,2042,0
RLRRRRRLRLLL,OOB,-1,16663337,-1,0,0,4171799,2043,2044,0
RLRRRRRLLRRR,OOB,-1,16657715,-1,0,0,4165650,2042,2042,0
RLRRRRRLLRRL,OOB,-1,16644563,-1,0,0,4167719,2042,2043,0
RLRRRRRLLRLR,OOB,-1,16652578,-1,0,0,4169764,2043,2043,0
RLRRRRRLLRLL,OOB,-1,16661701,-1,0,0,4171809,2043,2044,0
RLRRRRRLLLRR,OOB,-1,16675837,-1,0,0,4173836,2044,2044,0
RLRRRRRLLLRL,OOB,-1,16646723,-1,0,0,4167709,2042,2043,0
RLRRRRRLLLLR,OOB,-1,16644943,-1,0,0,4167719,2042,2043,0
RLRRRRRLLLLL,OOB,-1,16636842,-1,0,0,4165665,2042,2042,0
RLRRRRLRRRRR,TIMEOUT,-1,20000000,-1,0,0,143152,399,434,0
RLRRRRLRRRRL,TIMEOUT,-1,20000000,-1,0,0,136207,388,411,0
RLRRRRLRRRLR,TIMEOUT,-1,20000000,-1,0,0,146310,433,426,0
RLRRRRLRRRLL,TIMEOUT,-1,20000000,-1,0,0,130948,398,420,0
RLRRRRLRRLRR,TIMEOUT,-1,20000000,-1,0,0,134991,451,393,0
RLRRRRLRRLRL,TIMEOUT,-1,20000000,-1,0,0,135908,486,396,0
RLRRRRLRRLLR,TIMEOUT,-1,20000000,-1,0,0,138034,418,441,0
RLRRRRLRRLLL,TIMEOUT,-1,20000000,-1,0,0,132926,432,398,0
RLRRRRLRLRRR,OOB,-1,16955260,-1,0,0,4159221,2041,2040,0
RLRRRRLRLRRL,OOB,-1,16647419,-1,0,0,4167665,2042,2043,0
RLRRRRLRLRLR,OOB,-1,16601969,-1,0,0,4155421,2040,2039,0
RLRRRRLRLRLL,OOB,-1,16653214,-1,0,0,4169752,2043,2043,0
RLRRRRLRLLRR,OOB,-1,16645779,-1,0,0,4167715,2042,2043,0
RLRRRRLRLLRL,OOB,-1,16620703,-1,0,0,4161604,2040,2042,0
RLRRRRLRLLLR,OOB,-1,16621201,-1,0,0,4161592,2041,2041,0
RLRRRRLRLLLL,OOB,-1,16653855,-1,0,0,4169722,2044,2042,0
RLRRRRLLRRRR,OOB,-1,16645117,-1,0,0,4167723,2042,2043,0
RLRRRRLLRRRL,OOB,-1,16644693,-1,0,0,4167725,2042,2043,0
RLRRRRLLRRLR,OOB,-1,16644583,-1,0,0,4167719,2042,2043,0
RLRRRRLLRRLL,OOB,-1,16652783,-1,0,0,4167683,2042,2043,0
RLRRRRLLRLRR,OOB,-1,16629826,-1,0,0,4163627,2041,2042,0
RLRRRRLLRLRL,OOB,-1,16645335,-1,0,0,4167717,2042,2043,0
RLRRRRLLRLLR,OOB,-1,16644487,-1,0,0,4167719,2042,2043,0
RLRRRRLLRLLL,OOB,-1,16652582,-1,0,0,4169764,2043,2043,0
RLRRRRLLLRRR,OOB,-1,16661121,-1,0,0,4169746,2042,2044,0
RLRRRRLLLRRL,OOB,-1,16644475,-1,0,0,4167719,2042,2043,0
RLRRRRLLLRLR,OOB,-1,16644491,-1,0,0,4167719,2042,2043,0
RLRRRRLLLRLL,OOB,-1,16635941,-1,0,0,4159503,2038,2043,0
RLRRRRLLLLRR,OOB,-1,16660918,-1,0,0,4171809,2044,2043,0
RLRRRRLLLLRL,OOB,-1,16644961,-1,0,0,4167721,2042,2043,0
RLRRRRLLLLLR,OOB,-1,17218278,-1,0,0,4157434,2041,2039,0
RLRRRRLLLLLL,OOB,-1,16644523,-1,0,0,4167719,2042,2043,0
RLRRRLRRRRRR,OOB,-1,16648431,-1,0,0,4167711,2042,2043,0
