rule,status,onset,cert_step,period,dx,dy,visited,bbox_w,bbox_h,onset_exact
R,CYCLE,-1,7,4,0,0,4,2,2,0
RR,CYCLE,-1,15,8,0,0,4,2,2,0
RL,HIGHWAY,9977,11264,104,-2,-2,1648,73,45,1
RRR,CYCLE,-1,27,12,0,0,4,2,2,0
RRL,HIGHWAY,39,1024,18,1,-1,286,58,59,1
RLR,TIMEOUT,-1,20000000,-1,0,0,244831,630,624,0
RLL,TIMEOUT,-1,20000000,-1,0,0,187306,498,502,0
RRRR,CYCLE,-1,31,16,0,0,4,2,2,0
RRRL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRLR,OOB,-1,349235,-1,0,0,18886,979,1075,0
RRLL,TIMEOUT,-1,20000000,-1,0,0,39030,200,238,0
RLRR,TIMEOUT,-1,20000000,-1,0,0,180649,483,493,0
RLRL,HIGHWAY,10077,11264,104,-2,-2,1648,73,45,1
RLLR,TIMEOUT,-1,20000000,-1,0,0,421690,600,706,0
RLLL,TIMEOUT,-1,20000000,-1,0,0,144878,433,424,0
RRRRR,CYCLE,-1,51,20,0,0,4,2,2,0
RRRRL,HIGHWAY,103,4096,68,2,-2,606,122,123,1
RRRLR,TIMEOUT,-1,20000000,-1,0,0,156305,494,448,0
RRRLL,TIMEOUT,-1,20000000,-1,0,0,1120,36,37,0
RRLRR,TIMEOUT,-1,20000000,-1,0,0,3339006,1829,1828,0
RRLRL,TIMEOUT,-1,20000000,-1,0,0,148070,504,435,0
RRLLR,TIMEOUT,-1,20000000,-1,0,0,1236,39,39,0
RRLLL,TIMEOUT,-1,20000000,-1,0,0,1738,45,45,0
RLRRR,TIMEOUT,-1,20000000,-1,0,0,150157,437,422,0
RLRRL,TIMEOUT,-1,20000000,-1,0,0,236631,612,561,0
RLRLR,TIMEOUT,-1,20000000,-1,0,0,168873,477,462,0
RLRLL,TIMEOUT,-1,20000000,-1,0,0,244255,572,606,0
RLLRR,TIMEOUT,-1,20000000,-1,0,0,1768,44,46,0
RLLRL,TIMEOUT,-1,20000000,-1,0,0,198827,613,521,0
RLLLR,TIMEOUT,-1,20000000,-1,0,0,1476,40,38,0
RLLLL,TIMEOUT,-1,20000000,-1,0,0,134132,401,416,0
RRRRRR,CYCLE,-1,55,24,0,0,4,2,2,0
RRRRRL,HIGHWAY,127,2048,84,2,-2,247,50,51,1
RRRRLR,TIMEOUT,-1,20000000,-1,0,0,140328,423,481,0
RRRRLL,TIMEOUT,-1,20000000,-1,0,0,686,27,30,0
RRRLRR,TIMEOUT,-1,20000000,-1,0,0,144141,437,452,0
RRRLRL,TIMEOUT,-1,20000000,-1,0,0,109155,417,377,0
RRRLLR,TIMEOUT,-1,20000000,-1,0,0,722,28,30,0
RRRLLL,HIGHWAY,99,1024,38,-1,1,198,30,30,1
RRLRRR,TIMEOUT,-1,20000000,-1,0,0,135378,439,398,0
RRLRRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRLR,TIMEOUT,-1,20000000,-1,0,0,130968,403,440,0
RRLRLL,TIMEOUT,-1,20000000,-1,0,0,157999,437,481,0
RRLLRR,TIMEOUT,-1,20000000,-1,0,0,790,29,32,0
RRLLRL,TIMEOUT,-1,20000000,-1,0,0,113103,378,408,0
RRLLLR,TIMEOUT,-1,20000000,-1,0,0,135483,464,419,0
RRLLLL,TIMEOUT,-1,20000000,-1,0,0,1506,38,40,0
RLRRRR,TIMEOUT,-1,20000000,-1,0,0,129488,407,398,0
RLRRRL,OOB,-1,16636694,-1,0,0,4165676,2042,2042,0
RLRRLR,TIMEOUT,-1,20000000,-1,0,0,244831,630,624,0
RLRRLL,TIMEOUT,-1,20000000,-1,0,0,188386,568,486,0
RLRLRR,TIMEOUT,-1,20000000,-1,0,0,183753,495,531,0
RLRLRL,HIGHWAY,10077,11264,104,-2,-2,1648,73,45,1
RLRLLR,TIMEOUT,-1,20000000,-1,0,0,137639,453,432,0
RLRLLL,TIMEOUT,-1,20000000,-1,0,0,121835,420,403,0
RLLRRR,TIMEOUT,-1,20000000,-1,0,0,1856,40,48,0
RLLRRL,TIMEOUT,-1,20000000,-1,0,0,233422,596,584,0
RLLRLR,TIMEOUT,-1,20000000,-1,0,0,170811,489,477,0
RLLRLL,TIMEOUT,-1,20000000,-1,0,0,187306,498,502,0
RLLLRR,TIMEOUT,-1,20000000,-1,0,0,176496,426,422,0
RLLLRL,TIMEOUT,-1,20000000,-1,0,0,202626,452,462,0
RLLLLR,TIMEOUT,-1,20000000,-1,0,0,1296,36,36,0
RLLLLL,TIMEOUT,-1,20000000,-1,0,0,113955,369,384,0
RRRRRRR,CYCLE,-1,59,28,0,0,4,2,2,0
RRRRRRL,HIGHWAY,151,1024,100,2,-2,107,22,23,1
RRRRRLR,TIMEOUT,-1,20000000,-1,0,0,121197,449,394,0
RRRRRLL,TIMEOUT,-1,20000000,-1,0,0,484,24,24,0
RRRRLRR,TIMEOUT,-1,20000000,-1,0,0,120932,396,376,0
RRRRLRL,TIMEOUT,-1,20000000,-1,0,0,16958,150,148,0
RRRRLLR,TIMEOUT,-1,20000000,-1,0,0,509,24,24,0
RRRRLLL,HIGHWAY,115,8192,92,-2,2,1255,181,181,1
RRRLRRR,TIMEOUT,-1,20000000,-1,0,0,113767,380,362,0
RRRLRRL,TIMEOUT,-1,20000000,-1,0,0,134893,472,410,0
RRRLRLR,TIMEOUT,-1,20000000,-1,0,0,35160,208,205,0
RRRLRLL,TIMEOUT,-1,20000000,-1,0,0,118974,445,371,0
RRRLLRR,TIMEOUT,-1,20000000,-1,0,0,532,24,26,0
RRRLLRL,TIMEOUT,-1,20000000,-1,0,0,106484,419,347,0
RRRLLLR,HIGHWAY,5716,7168,268,2,2,640,36,39,1
RRRLLLL,TIMEOUT,-1,20000000,-1,0,0,23344,172,174,0
RRLRRRR,TIMEOUT,-1,20000000,-1,0,0,3338963,1829,1828,0
RRLRRRL,TIMEOUT,-1,20000000,-1,0,0,216024,618,547,0
RRLRRLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRLRR,OOB,-1,2884758,-1,0,0,365591,1033,1031,0
RRLRLRL,TIMEOUT,-1,20000000,-1,0,0,135898,410,484,0
RRLRLLR,OOB,-1,5154399,-1,0,0,80060,1077,1172,0
RRLRLLL,TIMEOUT,-1,20000000,-1,0,0,184017,433,434,0
RRLLRRR,TIMEOUT,-1,20000000,-1,0,0,592,26,26,0
RRLLRRL,TIMEOUT,-1,20000000,-1,0,0,79235,313,308,0
RRLLRLR,HIGHWAY,301,1024,42,1,-1,221,25,27,1
RRLLRLL,TIMEOUT,-1,20000000,-1,0,0,23016,179,172,0
RRLLLRR,HIGHWAY,977,2048,120,2,-2,266,29,31,1
RRLLLRL,HIGHWAY,118,2048,42,-1,1,359,53,53,1
RRLLLLR,TIMEOUT,-1,20000000,-1,0,0,64593,275,264,0
RRLLLLL,TIMEOUT,-1,20000000,-1,0,0,782,28,28,0
RLRRRRR,TIMEOUT,-1,20000000,-1,0,0,111990,373,381,0
RLRRRRL,OOB,-1,16645649,-1,0,0,4167721,2042,2043,0
RLRRRLR,TIMEOUT,-1,20000000,-1,0,0,175497,510,465,0
RLRRRLL,OOB,-1,16674692,-1,0,0,4173750,2044,2044,0
RLRRLRR,TIMEOUT,-1,20000000,-1,0,0,204222,550,532,0
RLRRLRL,TIMEOUT,-1,20000000,-1,0,0,251030,554,744,0
RLRRLLR,HIGHWAY,192632,194560,168,-2,-2,8171,125,101,1
RLRRLLL,TIMEOUT,-1,20000000,-1,0,0,153651,473,463,0
RLRLRRR,TIMEOUT,-1,20000000,-1,0,0,88574,317,310,0
RLRLRRL,TIMEOUT,-1,20000000,-1,0,0,160615,446,535,0
RLRLRLR,TIMEOUT,-1,20000000,-1,0,0,295427,592,760,0
RLRLRLL,TIMEOUT,-1,20000000,-1,0,0,293152,761,643,0
RLRLLRR,TIMEOUT,-1,20000000,-1,0,0,124898,425,426,0
RLRLLRL,TIMEOUT,-1,20000000,-1,0,0,244481,613,576,0
RLRLLLR,TIMEOUT,-1,20000000,-1,0,0,106038,374,373,0
RLRLLLL,TIMEOUT,-1,20000000,-1,0,0,21806,174,172,0
RLLRRRR,TIMEOUT,-1,20000000,-1,0,0,886,30,32,0
RLLRRRL,TIMEOUT,-1,20000000,-1,0,0,150677,449,401,0
RLLRRLR,TIMEOUT,-1,20000000,-1,0,0,69520,270,266,0
RLLRRLL,TIMEOUT,-1,20000000,-1,0,0,72684,278,284,0
RLLRLRR,TIMEOUT,-1,20000000,-1,0,0,162321,521,408,0
RLLRLRL,TIMEOUT,-1,20000000,-1,0,0,155775,481,468,0
RLLRLLR,TIMEOUT,-1,20000000,-1,0,0,55765,283,257,0
RLLRLLL,TIMEOUT,-1,20000000,-1,0,0,156064,451,439,0
RLLLRRR,TIMEOUT,-1,20000000,-1,0,0,73694,280,272,0
RLLLRRL,TIMEOUT,-1,20000000,-1,0,0,518220,720,720,0
RLLLRLR,TIMEOUT,-1,20000000,-1,0,0,183441,448,442,0
RLLLRLL,TIMEOUT,-1,20000000,-1,0,0,136696,436,446,0
RLLLLRR,TIMEOUT,-1,20000000,-1,0,0,594224,776,776,0
RLLLLRL,TIMEOUT,-1,20000000,-1,0,0,35582,194,190,0
RLLLLLR,TIMEOUT,-1,20000000,-1,0,0,676,26,26,0
RLLLLLL,TIMEOUT,-1,20000000,-1,0,0,107107,368,376,0
RRRRRRRR,CYCLE,-1,63,32,0,0,4,2,2,0
RRRRRRRL,HIGHWAY,175,3072,116,2,-2,267,54,55,1
RRRRRRLR,TIMEOUT,-1,20000000,-1,0,0,110495,383,406,0
RRRRRRLL,TIMEOUT,-1,20000000,-1,0,0,382,20,22,0
RRRRRLRR,TIMEOUT,-1,20000000,-1,0,0,1670503,1293,1294,0
RRRRRLRL,TIMEOUT,-1,20000000,-1,0,0,2899,62,61,0
RRRRRLLR,TIMEOUT,-1,20000000,-1,0,0,398,21,22,0
RRRRRLLL,HIGHWAY,131,1024,108,-2,2,143,23,22,1
RRRRLRRR,TIMEOUT,-1,20000000,-1,0,0,2004110,1417,1417,0
RRRRLRRL,TIMEOUT,-1,20000000,-1,0,0,110475,396,391,0
RRRRLRLR,TIMEOUT,-1,20000000,-1,0,0,2970,62,62,0
RRRRLRLL,TIMEOUT,-1,20000000,-1,0,0,108651,384,400,0
RRRRLLRR,TIMEOUT,-1,20000000,-1,0,0,414,21,22,0
RRRRLLRL,TIMEOUT,-1,20000000,-1,0,0,117725,466,390,0
RRRRLLLR,HIGHWAY,55912,58368,532,2,2,2237,65,74,1
RRRRLLLL,TIMEOUT,-1,20000000,-1,0,0,25734,161,196,0
RRRLRRRR,TIMEOUT,-1,20000000,-1,0,0,110874,343,395,0
RRRLRRRL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRLR,TIMEOUT,-1,20000000,-1,0,0,114474,369,411,0
RRRLRRLL,TIMEOUT,-1,20000000,-1,0,0,153260,429,450,0
RRRLRLRR,TIMEOUT,-1,20000000,-1,0,0,4991,78,76,0
RRRLRLRL,TIMEOUT,-1,20000000,-1,0,0,111876,396,398,0
RRRLRLLR,TIMEOUT,-1,20000000,-1,0,0,122946,409,408,0
RRRLRLLL,TIMEOUT,-1,20000000,-1,0,0,96089,326,394,0
RRRLLRRR,TIMEOUT,-1,20000000,-1,0,0,434,22,22,0
RRRLLRRL,TIMEOUT,-1,20000000,-1,0,0,87904,342,337,0
RRRLLRLR,HIGHWAY,129,2048,100,-2,2,375,44,44,1
RRRLLRLL,TIMEOUT,-1,20000000,-1,0,0,3227,63,63,0
RRRLLLRR,TIMEOUT,-1,20000000,-1,0,0,113095,417,363,0
RRRLLLRL,TIMEOUT,-1,20000000,-1,0,0,104574,369,403,0
RRRLLLLR,TIMEOUT,-1,20000000,-1,0,0,39094,195,238,0
RRRLLLLL,TIMEOUT,-1,20000000,-1,0,0,91688,323,336,0
RRLRRRRR,TIMEOUT,-1,20000000,-1,0,0,101661,360,357,0
RRLRRRRL,TIMEOUT,-1,20000000,-1,0,0,168651,482,478,0
RRLRRRLR,OOB,-1,349235,-1,0,0,18886,979,1075,0
RRLRRRLL,HIGHWAY,2834,6144,216,-2,-2,741,51,51,1
RRLRRLRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRLRRR,TIMEOUT,-1,20000000,-1,0,0,6569,84,84,0
RRLRLRRL,TIMEOUT,-1,20000000,-1,0,0,144302,468,452,0
RRLRLRLR,TIMEOUT,-1,20000000,-1,0,0,131314,422,425,0
RRLRLRLL,TIMEOUT,-1,20000000,-1,0,0,154072,459,504,0
RRLRLLRR,OOB,-1,321430,-1,0,0,36667,1055,1046,0
RRLRLLRL,TIMEOUT,-1,20000000,-1,0,0,161812,496,440,0
RRLRLLLR,TIMEOUT,-1,20000000,-1,0,0,240269,486,508,0
RRLRLLLL,TIMEOUT,-1,20000000,-1,0,0,218887,478,464,0
RRLLRRRR,TIMEOUT,-1,20000000,-1,0,0,470,22,24,0
RRLLRRRL,TIMEOUT,-1,20000000,-1,0,0,87721,323,329,0
RRLLRRLR,TIMEOUT,-1,20000000,-1,0,0,120250,432,400,0
RRLLRRLL,TIMEOUT,-1,20000000,-1,0,0,39030,200,238,0
RRLLRLRR,OOB,-1,13516090,-1,0,0,495653,1144,1139,0
RRLLRLRL,TIMEOUT,-1,20000000,-1,0,0,110940,394,384,0
RRLLRLLR,TIMEOUT,-1,20000000,-1,0,0,3764,71,69,0
RRLLRLLL,TIMEOUT,-1,20000000,-1,0,0,95672,362,344,0
RRLLLRRR,HIGHWAY,1543281,1545216,248,-2,-2,21616,191,168,1
RRLLLRRL,TIMEOUT,-1,20000000,-1,0,0,9687,116,118,0
RRLLLRLR,OOB,-1,136883,-1,0,0,9332,1031,1051,0
RRLLLRLL,TIMEOUT,-1,20000000,-1,0,0,124843,421,421,0
RRLLLLRR,TIMEOUT,-1,20000000,-1,0,0,237304,476,500,0
RRLLLLRL,TIMEOUT,-1,20000000,-1,0,0,102036,361,345,0
RRLLLLLR,TIMEOUT,-1,20000000,-1,0,0,157647,412,401,0
RRLLLLLL,TIMEOUT,-1,20000000,-1,0,0,576,24,24,0
RLRRRRRR,TIMEOUT,-1,20000000,-1,0,0,109151,367,362,0
RLRRRRRL,OOB,-1,17229670,-1,0,0,4165606,2042,2042,0
RLRRRRLR,TIMEOUT,-1,20000000,-1,0,0,138589,424,452,0
RLRRRRLL,OOB,-1,16661087,-1,0,0,4171803,2043,2044,0
RLRRRLRR,TIMEOUT,-1,20000000,-1,0,0,180649,483,493,0
RLRRRLRL,TIMEOUT,-1,20000000,-1,0,0,155878,455,471,0
RLRRRLLR,OOB,-1,16652685,-1,0,0,4169766,2043,2043,0
RLRRRLLL,OOB,-1,16660959,-1,0,0,4171797,2043,2044,0
RLRRLRRR,TIMEOUT,-1,20000000,-1,0,0,144437,432,492,0
RLRRLRRL,TIMEOUT,-1,20000000,-1,0,0,216043,558,571,0
RLRRLRLR,TIMEOUT,-1,20000000,-1,0,0,246924,596,633,0
RLRRLRLL,TIMEOUT,-1,20000000,-1,0,0,161214,487,482,0
RLRRLLRR,TIMEOUT,-1,20000000,-1,0,0,139353,431,442,0
RLRRLLRL,TIMEOUT,-1,20000000,-1,0,0,199398,561,550,0
RLRRLLLR,TIMEOUT,-1,20000000,-1,0,0,8422,94,100,0
RLRRLLLL,TIMEOUT,-1,20000000,-1,0,0,148219,446,418,0
RLRLRRRR,TIMEOUT,-1,20000000,-1,0,0,5799,81,82,0
RLRLRRRL,TIMEOUT,-1,20000000,-1,0,0,178069,518,505,0
RLRLRRLR,TIMEOUT,-1,20000000,-1,0,0,163404,465,476,0
RLRLRRLL,TIMEOUT,-1,20000000,-1,0,0,166713,479,495,0
RLRLRLRR,HIGHWAY,4174,5120,88,2,-2,1011,54,53,1
RLRLRLRL,HIGHWAY,10077,11264,104,-2,-2,1648,73,45,1
RLRLRLLR,TIMEOUT,-1,20000000,-1,0,0,316242,633,851,0
RLRLRLLL,TIMEOUT,-1,20000000,-1,0,0,264885,654,574,0
RLRLLRRR,TIMEOUT,-1,20000000,-1,0,0,108565,384,382,0
RLRLLRRL,TIMEOUT,-1,20000000,-1,0,0,120064,404,409,0
RLRLLRLR,TIMEOUT,-1,20000000,-1,0,0,257745,600,655,0
RLRLLRLL,HIGHWAY,129218,131072,120,-2,2,6432,100,124,1
RLRLLLRR,TIMEOUT,-1,20000000,-1,0,0,108475,425,374,0
RLRLLLRL,TIMEOUT,-1,20000000,-1,0,0,127592,435,415,0
RLRLLLLR,TIMEOUT,-1,20000000,-1,0,0,123321,459,490,0
RLRLLLLL,TIMEOUT,-1,20000000,-1,0,0,3345,66,68,0
RLLRRRRR,TIMEOUT,-1,20000000,-1,0,0,1120,32,36,0
RLLRRRRL,TIMEOUT,-1,20000000,-1,0,0,168118,455,440,0
RLLRRRLR,TIMEOUT,-1,20000000,-1,0,0,138914,444,429,0
RLLRRRLL,TIMEOUT,-1,20000000,-1,0,0,4917,78,76,0
RLLRRLRR,TIMEOUT,-1,20000000,-1,0,0,158388,474,426,0
RLLRRLRL,TIMEOUT,-1,20000000,-1,0,0,142539,432,420,0
RLLRRLLR,TIMEOUT,-1,20000000,-1,0,0,421690,600,706,0
RLLRRLLL,TIMEOUT,-1,20000000,-1,0,0,175183,424,440,0
RLLRLRRR,TIMEOUT,-1,20000000,-1,0,0,160815,473,454,0
RLLRLRRL,TIMEOUT,-1,20000000,-1,0,0,175838,502,547,0
RLLRLRLR,TIMEOUT,-1,20000000,-1,0,0,156681,520,437,0
RLLRLRLL,TIMEOUT,-1,20000000,-1,0,0,179266,574,460,0
RLLRLLRR,TIMEOUT,-1,20000000,-1,0,0,6573,92,93,0
RLLRLLRL,TIMEOUT,-1,20000000,-1,0,0,156792,477,441,0
RLLRLLLR,TIMEOUT,-1,20000000,-1,0,0,142624,419,424,0
RLLRLLLL,TIMEOUT,-1,20000000,-1,0,0,151043,434,442,0
RLLLRRRR,TIMEOUT,-1,20000000,-1,0,0,164464,410,408,0
RLLLRRRL,OOB,-1,8775699,-1,0,0,4156898,2037,2041,0
RLLLRRLR,TIMEOUT,-1,20000000,-1,0,0,5160,72,72,0
RLLLRRLL,TIMEOUT,-1,20000000,-1,0,0,157000,398,396,0
RLLLRLRR,TIMEOUT,-1,20000000,-1,0,0,142996,427,421,0
RLLLRLRL,TIMEOUT,-1,20000000,-1,0,0,177814,433,465,0
RLLLRLLR,TIMEOUT,-1,20000000,-1,0,0,146258,410,491,0
RLLLRLLL,TIMEOUT,-1,20000000,-1,0,0,144878,433,424,0
RLLLLRRR,TIMEOUT,-1,20000000,-1,0,0,71608,268,268,0
RLLLLRRL,OOB,-1,19087321,-1,0,0,4145598,2037,2039,0
RLLLLRLR,TIMEOUT,-1,20000000,-1,0,0,182054,440,424,0
RLLLLRLL,TIMEOUT,-1,20000000,-1,0,0,323223,570,576,0
RLLLLLRR,TIMEOUT,-1,20000000,-1,0,0,452044,678,678,0
RLLLLLRL,TIMEOUT,-1,20000000,-1,0,0,3844,62,62,0
RLLLLLLR,TIMEOUT,-1,20000000,-1,0,0,576,24,24,0
RLLLLLLL,TIMEOUT,-1,20000000,-1,0,0,89901,339,328,0
RRRRRRRRR,CYCLE,-1,99,36,0,0,4,2,2,0
RRRRRRRRL,HIGHWAY,199,3072,132,2,-2,237,48,49,1
RRRRRRRLR,TIMEOUT,-1,20000000,-1,0,0,97974,411,369,0
RRRRRRRLL,TIMEOUT,-1,20000000,-1,0,0,344,20,20,0
RRRRRRLRR,TIMEOUT,-1,20000000,-1,0,0,95232,335,377,0
RRRRRRLRL,TIMEOUT,-1,20000000,-1,0,0,1453,43,42,0
RRRRRRLLR,TIMEOUT,-1,20000000,-1,0,0,344,20,20,0
RRRRRRLLL,HIGHWAY,147,2048,124,-2,2,245,37,37,1
RRRRRLRRR,TIMEOUT,-1,20000000,-1,0,0,97375,343,362,0
RRRRRLRRL,TIMEOUT,-1,20000000,-1,0,0,85637,367,329,0
RRRRRLRLR,TIMEOUT,-1,20000000,-1,0,0,1536,44,44,0
RRRRRLRLL,HIGHWAY,348707,352256,216,2,2,5843,130,81,1
RRRRRLLRR,TIMEOUT,-1,20000000,-1,0,0,354,20,20,0
RRRRRLLRL,TIMEOUT,-1,20000000,-1,0,0,85116,356,322,0
RRRRRLLLR,HIGHWAY,8744719,8749056,664,2,-2,64466,323,331,1
RRRRRLLLL,TIMEOUT,-1,20000000,-1,0,0,1539,43,43,0
RRRRLRRRR,TIMEOUT,-1,20000000,-1,0,0,2004298,1417,1417,0
RRRRLRRRL,TIMEOUT,-1,20000000,-1,0,0,105803,422,401,0
RRRRLRRLR,TIMEOUT,-1,20000000,-1,0,0,90250,336,352,0
RRRRLRRLL,HIGHWAY,1847577,1851392,380,2,2,24170,219,197,1
RRRRLRLRR,TIMEOUT,-1,20000000,-1,0,0,1569,44,44,0
RRRRLRLRL,HIGHWAY,2639,3072,66,1,-1,244,22,20,1
RRRRLRLLR,TIMEOUT,-1,20000000,-1,0,0,116206,464,380,0
RRRRLRLLL,TIMEOUT,-1,20000000,-1,0,0,84735,321,323,0
RRRRLLRRR,TIMEOUT,-1,20000000,-1,0,0,360,20,20,0
RRRRLLRRL,HIGHWAY,1858344,1860608,520,-4,-4,16110,158,129,1
RRRRLLRLR,HIGHWAY,145,2048,58,-1,1,328,39,39,1
RRRRLLRLL,TIMEOUT,-1,20000000,-1,0,0,1551,44,44,0
RRRRLLLRR,TIMEOUT,-1,20000000,-1,0,0,107605,403,362,0
RRRRLLLRL,TIMEOUT,-1,20000000,-1,0,0,74573,304,319,0
RRRRLLLLR,TIMEOUT,-1,20000000,-1,0,0,1622,44,46,0
RRRRLLLLL,HIGHWAY,522,1024,62,-1,1,137,17,17,1
RRRLRRRRR,TIMEOUT,-1,20000000,-1,0,0,2504668,1585,1583,0
RRRLRRRRL,TIMEOUT,-1,20000000,-1,0,0,177726,528,539,0
RRRLRRRLR,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRRLL,HIGHWAY,79,5120,52,2,-2,987,198,199,1
RRRLRRLRR,TIMEOUT,-1,20000000,-1,0,0,106972,408,361,0
RRRLRRLRL,TIMEOUT,-1,20000000,-1,0,0,158877,490,507,0
RRRLRRLLR,TIMEOUT,-1,20000000,-1,0,0,162109,427,448,0
RRRLRRLLL,TIMEOUT,-1,20000000,-1,0,0,3322421,1825,1821,0
RRRLRLRRR,TIMEOUT,-1,20000000,-1,0,0,3409,66,62,0
RRRLRLRRL,TIMEOUT,-1,20000000,-1,0,0,133827,373,476,0
RRRLRLRLR,TIMEOUT,-1,20000000,-1,0,0,114079,380,395,0
RRRLRLRLL,TIMEOUT,-1,20000000,-1,0,0,111692,384,421,0
RRRLRLLRR,TIMEOUT,-1,20000000,-1,0,0,122023,397,416,0
RRRLRLLRL,TIMEOUT,-1,20000000,-1,0,0,126254,418,416,0
RRRLRLLLR,TIMEOUT,-1,20000000,-1,0,0,95617,366,370,0
RRRLRLLLL,TIMEOUT,-1,20000000,-1,0,0,101692,384,336,0
RRRLLRRRR,TIMEOUT,-1,20000000,-1,0,0,382,21,22,0
RRRLLRRRL,TIMEOUT,-1,20000000,-1,0,0,74551,298,302,0
RRRLLRRLR,HIGHWAY,151095,155648,928,6,-6,4337,103,105,1
RRRLLRRLL,TIMEOUT,-1,20000000,-1,0,0,1685,46,47,0
RRRLLRLRR,HIGHWAY,967,3072,248,-4,4,357,49,47,1
RRRLLRLRL,TIMEOUT,-1,20000000,-1,0,0,85113,307,353,0
RRRLLRLLR,TIMEOUT,-1,20000000,-1,0,0,1727,48,46,0
RRRLLRLLL,TIMEOUT,-1,20000000,-1,0,0,81229,319,298,0
RRRLLLRRR,HIGHWAY,6772883,6774784,488,2,-2,46059,260,263,1
RRRLLLRRL,TIMEOUT,-1,20000000,-1,0,0,118794,380,414,0
RRRLLLRLR,TIMEOUT,-1,20000000,-1,0,0,94526,322,394,0
RRRLLLRLL,TIMEOUT,-1,20000000,-1,0,0,96320,349,344,0
RRRLLLLRR,TIMEOUT,-1,20000000,-1,0,0,1836,46,47,0
RRRLLLLRL,TIMEOUT,-1,20000000,-1,0,0,90438,357,349,0
RRRLLLLLR,TIMEOUT,-1,20000000,-1,0,0,2726,56,56,0
RRRLLLLLL,TIMEOUT,-1,20000000,-1,0,0,78709,289,296,0
RRLRRRRRR,TIMEOUT,-1,20000000,-1,0,0,103255,360,357,0
RRLRRRRRL,TIMEOUT,-1,20000000,-1,0,0,129393,424,404,0
RRLRRRRLR,TIMEOUT,-1,20000000,-1,0,0,155734,456,451,0
RRLRRRRLL,TIMEOUT,-1,20000000,-1,0,0,3339056,1828,1829,0
RRLRRRLRR,TIMEOUT,-1,20000000,-1,0,0,170220,515,525,0
RRLRRRLRL,TIMEOUT,-1,20000000,-1,0,0,237255,714,505,0
RRLRRRLLR,TIMEOUT,-1,20000000,-1,0,0,150760,490,463,0
RRLRRRLLL,TIMEOUT,-1,20000000,-1,0,0,154314,443,501,0
RRLRRLRRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLRLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLRL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLR,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRRLLLL,HIGHWAY,55,1024,18,1,-1,286,58,59,1
RRLRLRRRR,TIMEOUT,-1,20000000,-1,0,0,2316,50,50,0
RRLRLRRRL,TIMEOUT,-1,20000000,-1,0,0,128259,450,402,0
RRLRLRRLR,TIMEOUT,-1,20000000,-1,0,0,136095,418,466,0
RRLRLRRLL,TIMEOUT,-1,20000000,-1,0,0,155245,460,459,0
RRLRLRLRR,TIMEOUT,-1,20000000,-1,0,0,127501,420,446,0
RRLRLRLRL,TIMEOUT,-1,20000000,-1,0,0,149652,477,441,0
RRLRLRLLR,TIMEOUT,-1,20000000,-1,0,0,141485,475,406,0
RRLRLRLLL,TIMEOUT,-1,20000000,-1,0,0,166182,564,457,0
RRLRLLRRR,OOB,-1,7093997,-1,0,0,1072162,1065,2018,0
RRLRLLRRL,TIMEOUT,-1,20000000,-1,0,0,169999,476,462,0
RRLRLLRLR,HIGHWAY,10850523,10854400,776,4,4,100615,355,412,1
RRLRLLRLL,TIMEOUT,-1,20000000,-1,0,0,150271,495,416,0
RRLRLLLRR,TIMEOUT,-1,20000000,-1,0,0,154913,410,390,0
RRLRLLLRL,TIMEOUT,-1,20000000,-1,0,0,262892,526,507,0
RRLRLLLLR,TIMEOUT,-1,20000000,-1,0,0,155147,406,388,0
RRLRLLLLL,TIMEOUT,-1,20000000,-1,0,0,175589,426,416,0
RRLLRRRRR,TIMEOUT,-1,20000000,-1,0,0,422,22,22,0
RRLLRRRRL,TIMEOUT,-1,20000000,-1,0,0,74188,309,310,0
RRLLRRRLR,TIMEOUT,-1,20000000,-1,0,0,87081,316,349,0
RRLLRRRLL,TIMEOUT,-1,20000000,-1,0,0,1751,47,47,0
RRLLRRLRR,OOB,-1,261776,-1,0,0,12246,1049,1074,0
RRLLRRLRL,TIMEOUT,-1,20000000,-1,0,0,91657,356,377,0
